id,title,genre,budget,revenue,production_companies,united_states,english,title_change,popularity,vote_average,vote_count,month,year,runtime,successful
2003,Kites,Action,0,0,1,No,Yes,No,4.807549,6,40,5,2010,131,0
2004,Sex and the City 2,Drama,100000000,288347692,4,Yes,Yes,No,18.325897,5.4,426,5,2010,146,1
2005,The Social Network,Drama,40000000,224920315,3,Yes,Yes,No,69.27822,7.1,3391,9,2010,120,1
2006,Killers,Action,75000000,98159963,3,Yes,Yes,No,23.004607,5.7,772,6,2010,100,0
2007,Knight and Day,Action,117000000,261930431,5,Yes,Yes,No,44.906918,5.9,1547,6,2010,109,1
2008,Wild Grass,Drama,0,0,10,No,No,Yes,1.866443,5.8,22,5,2009,104,0
2009,The White Ribbon,Drama,15238800,0,4,No,No,Yes,17.94739,7.2,255,5,2009,144,0
2010,MacGruber,Action,10000000,6110000,1,Yes,Yes,No,14.038512,5.1,179,5,2010,90,0
2011,Charlie St. Cloud,Drama,44000000,48190704,3,Yes,Yes,No,21.75433,6.8,566,5,2010,99,0
2012,Immortals,Action,75000000,226904017,2,Yes,Yes,No,37.917002,5.7,880,11,2011,110,1
2013,Brown Sugar,Comedy,8000000,27362712,0,No,No,No,3.501158,7,31,10,2002,109,1
2014,The Trials Of Darryl Hunt,Documentary,0,0,0,Yes,Yes,No,0.15066,6.8,4,6,2007,106,0
2015,Ira & Abby,Comedy,0,0,0,Yes,No,No,0.595136,5.8,9,1,2006,104,0
2016,You Will Meet a Tall Dark Stranger,Drama,22000000,0,1,Yes,Yes,No,12.4654,5.8,251,5,2010,98,0
2017,Chain Letter,Thriller,0,0,2,Yes,Yes,No,2.504156,3.9,37,10,2010,96,0
2018,The Adjustment Bureau,Thriller,50200000,127869379,4,Yes,Yes,No,26.60772,6.5,1652,3,2011,106,1
2019,Megamind,Animation,130000000,321887208,1,Yes,Yes,No,68.757242,6.7,1918,10,2010,95,1
2020,Going the Distance,Drama,32000000,42045846,2,Yes,Yes,No,13.611544,6,262,9,2010,102,0
2021,Just Wright,Drama,0,21520719,3,Yes,Yes,No,10.409253,6.1,99,5,2010,100,1
2022,Beastly,Drama,17000000,43165571,3,Yes,Yes,No,24.054062,6,849,1,2011,86,1
2023,Eat Pray Love,Drama,60000000,204594016,3,Yes,Yes,No,28.800112,5.8,636,8,2010,133,1
2024,You Again,Comedy,20000000,32005248,3,Yes,Yes,No,19.962713,6,368,9,2010,105,0
2025,Zookeeper,Comedy,80000000,169852759,7,Yes,Yes,No,27.46264,5.3,498,7,2011,102,1
